id,aclength,intplan,dataplan,datagb,ommin,omcall,otmin,otcall,ngmin,ngcall,imin,icall,cuscall,churn
351-8627,96,0,0,0,129.3,29,150,132,12.4,10,8.3,2,1,0
412-7701,122,0,0,0,234.1,81,182.3,66,12.5,5,12.2,2,1,0
405-3145,143,0,0,0,239.2,93,185.1,82,21.5,10,7.7,2,0,0
408-6036,62,0,1,500M,149.6,72,216.8,99,14.2,9,7.9,4,3,0
403-6858,196,0,0,0,230.9,65,199.2,86,14.2,6,10.7,2,2,0
403-1397,141,0,0,0,203.1,62,123,72,22.9,17,3.5,1,3,0
407-2098,112,0,0,0,121.7,76,179.6,67,13,7,1.1,1,1,0
410-4928,86,0,1,1.5G,207.1,39,181.1,84,34.3,9,12.5,4,1,1
412-4101,120,1,0,0,199.2,85,149.9,55,54,21,16.8,9,1,0
363-7814,105,0,1,1.5G,275.9,92,247.1,101,15.8,6,16.6,4,0,0
442-3937,59,0,0,0,175.3,68,163.7,102,12.9,11,5.6,3,3,0
410-2020,88,0,0,0,93.7,45,167.2,75,12.2,3,12.4,2,0,0
390-4428,157,0,0,0,138.7,67,142.8,93,8.1,19,0,0,2,0
368-4440,137,0,1,250M,123.4,41,147.4,90,26.6,7,11.9,3,1,0
422-2911,116,0,0,0,136,76,200.5,81,22.6,5,9.6,4,2,0
408-2085,125,1,0,0,234.1,97,170.2,62,19.8,15,16.8,6,2,1
432-5681,99,0,0,0,89.1,67,149,73,14.2,13,9.7,2,2,1
429-5321,74,0,0,0,218.7,80,229.7,87,7.5,11,2.2,1,0,0
431-4361,99,0,0,0,178.8,86,256.1,106,11.1,16,20.8,4,1,0
438-8256,107,0,0,0,183.5,65,168.9,126,11.6,8,8.9,1,1,0
371-6259,140,0,1,1.5G,258.9,80,133.5,54,2.3,7,18.1,6,0,1
413-4069,137,0,0,0,286,78,177.8,126,16,10,8.2,2,2,1
449-7577,112,0,1,250M,157.1,72,170.8,67,1.2,12,13,3,0,0
363-6542,171,0,1,1G,213.4,88,224.6,64,6.8,7,8.4,2,0,0
381-2893,103,0,0,0,182,68,264.9,97,7.5,9,0,0,0,0
430-1993,132,0,0,0,174.1,66,245.7,108,12.9,4,10.8,2,5,0
430-7183,123,0,0,0,249.8,79,233.4,101,16.3,13,4.7,1,3,0
390-4171,116,0,0,0,175.3,75,248.5,89,9.1,3,6.5,4,1,1
440-1757,50,0,0,0,81.8,69,199.4,93,15.3,5,9.7,5,1,0
419-1174,121,0,1,1.5G,193.7,95,208.7,109,26.1,6,10.1,2,1,0
391-1129,74,0,0,0,240.8,77,258.3,89,42.5,15,3.8,2,4,1
443-7944,94,0,0,0,117.1,67,142.8,79,6,6,6.9,1,1,0
383-8773,86,0,1,1.5G,150.5,45,161.3,104,21.7,11,12.1,2,2,0
386-7208,74,0,0,0,165.3,82,108.4,69,29,15,1.3,2,1,0
413-4912,13,0,0,0,118.9,64,217.9,99,13.5,7,11,5,3,0
438-4201,108,0,1,1G,182.3,61,173.5,102,4.6,12,18,4,2,0
426-6964,179,0,0,0,194.6,85,258,99,24.4,9,2.1,1,1,1
381-5733,54,0,1,250M,103.8,71,143.6,80,0.4,4,17.7,2,2,0
432-5675,88,0,0,0,171.8,74,174.1,78,52.3,12,11.6,3,2,0
366-6513,109,0,0,0,160.3,58,203.2,114,22.7,9,6.9,3,1,0
446-7551,102,0,0,0,212.7,77,198.1,84,8.3,7,13,1,1,1
435-5429,111,0,0,0,136.3,69,127.5,67,12.2,11,0,0,1,0
407-1278,51,1,0,0,196.7,89,199.1,105,21.1,7,12.5,5,2,1
399-8858,113,0,0,0,213,66,221.4,104,10.5,6,6.3,2,3,0
448-5973,39,0,0,0,210.4,26,198,100,15.4,12,0,0,1,0
420-9622,173,1,0,0,191.4,81,159.4,81,31.2,9,37.7,14,0,1
449-1624,58,0,0,0,169.2,71,200.7,110,43.3,16,16.3,3,0,0
392-4494,72,0,0,0,150,56,164,104,47.5,11,7.5,2,1,0
374-5036,130,0,0,0,156.7,69,207.9,95,51.3,14,12,5,2,0
354-5558,124,0,1,1.5G,209.9,86,187.7,86,15.3,10,3.9,1,1,0
377-2666,82,0,1,1G,161.6,60,239.5,141,14.2,3,0,0,1,0
420-3165,154,0,0,0,141.4,68,214,103,19.9,6,8.8,1,6,0
444-2706,138,0,1,1G,153.7,66,145,118,6,8,0,0,1,1
432-7572,102,0,1,1G,299.1,81,178.1,45,13.3,7,1.6,2,0,0
418-9232,112,0,1,1.5G,112.3,42,44.4,72,7.1,4,7.1,1,3,0
382-2742,89,0,1,1.5G,105,38,135.6,51,26.1,9,10,2,0,0
421-6854,129,0,0,0,228,75,254.7,124,19.6,11,17.8,1,0,0
446-6711,137,0,1,1G,135.7,76,149.2,104,14.8,3,14.8,3,3,0
381-1292,109,0,0,0,170.3,64,215.3,98,8.8,9,5,1,0,0
446-3359,116,0,0,0,161.8,62,218.9,88,20.3,8,2.2,1,0,0
423-2974,62,0,0,0,70.5,30,202.8,71,16.1,12,0,0,1,0
399-2723,83,0,0,0,244.8,86,231,81,7.5,7,0,0,0,0
386-5695,30,0,1,250M,131,75,222.9,126,1.3,3,13.9,2,4,0
371-5280,66,0,0,0,174.5,70,223.5,90,16.1,4,6.3,4,0,0
363-8682,124,0,1,1G,175.2,66,152.9,62,8.7,10,0,0,1,0
360-5130,135,0,0,0,165.6,67,180.1,124,15.9,10,11.1,2,1,0
423-1644,130,0,0,0,179.2,83,209.1,105,38.2,12,10.9,2,3,0
411-8642,77,0,0,0,177,46,176.6,104,50.1,17,0,0,1,0
440-2048,127,0,0,0,175.2,79,210.3,115,9.5,10,7.3,2,1,0
372-9330,124,0,0,0,223.9,72,189.5,88,19.3,5,18.7,5,1,0
387-9661,95,0,0,0,200.4,90,255.3,85,19.8,9,8.1,3,1,0
407-2148,118,0,0,0,245.9,103,218.9,94,35.8,12,0.9,1,0,0
413-4533,65,0,0,0,42.2,42,204.9,123,28.5,8,4.8,5,2,0
438-8967,65,0,0,0,177,63,129.2,62,13.1,4,14.8,4,1,0
377-6448,118,1,1,500M,162.2,65,196.5,77,10.3,6,20.1,6,1,1
447-4179,97,0,0,0,187.9,67,191.7,76,52.5,9,16.7,4,3,1
439-3441,134,0,1,500M,295.3,75,164.8,87,17,7,6.8,2,1,1
406-2031,210,0,0,0,219.2,61,145.1,90,14.9,9,14.1,2,0,0
391-2968,144,0,1,1.5G,279.6,111,207.4,92,9.3,4,16.4,4,0,0
363-9791,192,0,0,0,254.6,66,222.3,141,15.6,15,8.5,1,1,0
425-7288,112,1,1,500M,152.5,71,209.9,137,10.2,9,17.2,5,1,1
437-6633,94,0,1,250M,221.5,44,269.8,114,7.1,6,3.3,3,0,0
366-1913,108,0,0,0,186.4,81,199.8,130,3.9,6,0,0,2,0
446-8512,87,0,0,0,165.1,43,252.8,128,8.6,4,6,2,1,0
350-4692,80,0,1,1G,156.9,61,203.3,99,11.1,12,7.4,3,1,0
420-7406,116,0,0,0,223.7,53,151.3,84,16,12,7.6,2,2,0
377-1137,60,0,0,0,192.3,60,257.3,113,5.8,7,20.1,5,0,0
417-7086,68,0,0,0,210,75,236.5,83,44.4,19,20.1,3,0,0
411-4051,82,0,0,0,258.1,103,240.4,67,16.3,9,9.4,1,0,1
392-2897,108,1,0,0,68.5,34,190.6,77,3.9,9,16.8,6,1,0
375-8178,124,0,0,0,150,62,197.6,110,45.4,21,12,4,1,0
379-1922,136,0,0,0,61.9,28,202.8,62,14.8,5,17.4,3,0,0
364-6960,127,0,1,1G,236.4,91,242.5,102,7.9,11,13.8,5,0,1
363-8691,67,0,0,0,176.7,89,220,81,5.8,6,6.4,3,2,0
410-5342,71,0,0,0,197.2,82,124.5,93,17.6,7,14.7,5,1,0
431-2845,91,0,0,0,161.5,37,240.8,120,7.3,11,7.3,1,2,0
350-5799,67,0,0,0,111,66,112.6,60,22,6,0,0,4,0
350-1404,112,0,1,1.5G,184.8,73,164,95,3.3,5,13.9,4,2,0
372-8715,91,0,0,0,196.4,84,177.9,95,21.2,4,2.3,4,1,0
396-9617,138,0,0,0,85.2,70,116.6,51,33,14,8.2,5,0,0
448-2865,71,1,0,0,123.4,52,161.6,83,21.6,6,23.8,10,0,0
450-6917,60,0,0,0,217.5,99,265.4,59,3,6,0,0,0,0
379-9680,100,0,0,0,175.6,70,128.6,109,36,16,15,5,3,1
363-4391,81,0,0,0,246.3,92,226.1,85,26.3,11,15.7,5,2,0
374-1842,35,0,0,0,124.6,61,147,78,22.9,6,4.1,3,2,0
426-5152,58,0,0,0,185.8,42,167.7,78,21.6,15,14.5,3,1,0
400-9256,129,1,1,1.5G,209.4,90,205,84,29.5,14,10.9,5,0,1
371-9307,104,0,1,1.5G,199.3,93,268.3,102,26.8,6,9,2,2,0
383-5729,53,0,0,0,286.1,117,228.3,103,27.4,18,11.5,4,0,0
413-8390,107,1,1,1.5G,259.3,73,252.5,107,3.2,4,20.6,5,2,1
405-2759,132,0,1,1.5G,198.8,105,166.3,111,16,10,9.1,1,1,0
369-9558,152,0,0,0,251.9,70,246.1,65,28.1,16,0,0,2,1
428-5432,61,0,0,0,180,69,233.7,134,2.8,7,11.8,4,2,0
351-2210,142,0,0,0,104.8,69,128.7,62,21.1,16,11,2,1,0
414-1493,61,0,0,0,286.3,95,258.9,73,5.8,12,0,0,5,0
386-9556,83,0,0,0,151,70,233.6,120,10.5,7,16.7,5,2,0
365-6154,77,0,1,1.5G,219.6,111,105.3,67,14,14,0,0,1,0
356-2297,127,0,0,0,224.1,62,107.2,100,29.1,7,17.5,4,2,0
426-2131,119,0,1,250M,159.4,68,142.6,95,17.4,12,15.3,2,2,0
400-6783,62,0,1,1.5G,217.4,47,150.9,116,11.9,15,16.1,5,7,0
384-3211,155,0,1,1.5G,228.3,96,261.8,72,8.6,10,9.7,3,1,0
430-3647,15,0,1,1.5G,138.8,59,154.7,69,7.8,8,0,0,3,0
362-2741,110,0,0,0,292,93,202.3,81,21.5,11,21.9,7,1,1
413-6569,206,0,0,0,158.3,63,235.9,87,0,0,6.7,1,0,0
394-3709,46,0,0,0,225.1,79,276.5,120,21.2,10,7.8,1,1,0
417-1424,31,0,0,0,197.8,80,162.2,81,12.3,5,5.3,3,6,0
423-8545,44,0,0,0,29.5,63,159.1,95,50.8,11,11.7,2,2,0
432-5414,107,1,0,0,201.1,52,141,107,7.1,8,15.8,5,2,1
424-8126,120,0,1,500M,121.7,59,181.3,75,19.9,8,6.6,1,0,0
445-6183,157,0,0,0,144.3,68,184.7,129,19.4,12,13,2,0,0
389-8832,39,0,0,0,191.4,97,112.8,64,23.4,15,11,5,3,1
402-6593,75,0,0,0,113.5,43,195,99,7.2,3,0,0,1,0
366-1635,154,0,0,0,149.6,77,141.7,91,28.8,13,10.5,1,2,0
441-5756,77,0,0,0,141,74,246.9,93,10,5,13.2,3,2,0
424-7614,127,1,1,1.5G,210,65,188.6,100,8.5,12,25.7,9,2,1
438-5773,92,1,0,0,207.3,103,119.4,83,46.8,15,14.8,6,0,0
432-7313,100,0,0,0,170.5,86,221.7,110,0.4,7,14.2,2,4,0
426-5909,73,0,0,0,108,68,192.2,70,27.6,8,7.7,2,1,0
382-7354,90,0,0,0,195.4,84,177.9,101,20.8,10,1.2,1,3,0
400-3928,128,0,1,500M,154.1,36,294,144,9.9,10,12,3,1,1
435-6450,113,0,1,1G,246.6,84,230,112,41.5,15,4.8,3,2,0
358-5610,136,0,0,0,231.8,106,243.3,103,23.5,12,0,0,1,0
427-1724,134,0,0,0,117.5,62,189.2,96,8.9,4,5.2,2,2,0
397-8368,161,0,1,2G,193.9,64,187.6,98,23.4,13,9.7,4,2,0
444-1986,147,0,0,0,154.7,87,243.4,109,14,3,6.9,2,1,0
442-8944,112,0,0,0,217.5,75,187.3,109,14.1,9,17.8,6,1,0
440-7937,38,0,0,0,146.5,86,157.7,95,20,9,9.9,4,3,1
406-4647,64,0,0,0,180.7,48,238.7,137,37,8,0,0,1,0
425-5757,112,0,1,250M,141.4,74,162.1,99,26.5,19,14.7,3,0,0
427-9031,78,0,1,1.5G,220.2,88,253.5,99,35.7,7,15.8,4,1,1
382-9208,85,0,0,0,88.1,73,172.5,95,34.3,16,0,0,2,0
357-1868,92,0,0,0,250.7,55,139.3,60,28.3,16,3.5,1,1,0
410-5740,145,0,1,500M,210.6,88,155,26,24.8,13,11.9,3,2,0
368-5132,116,0,0,0,116.6,59,176.1,73,28.3,7,11,3,1,1
396-3274,191,0,1,2G,178.7,72,208.4,103,28.7,9,3.5,2,0,0
440-7084,26,0,1,1.5G,159.6,68,142.3,98,5.8,7,10.6,1,2,0
380-2406,157,0,0,0,162.7,72,145.3,106,17.7,11,3.4,1,1,0
352-6811,74,0,1,500M,133.2,52,154.3,92,32.7,1,12.8,2,3,0
370-3678,41,0,0,0,79.8,54,210,94,5.3,8,8.8,3,1,0
358-8325,86,0,1,1.5G,187.9,50,180.4,92,27.8,18,18.2,5,2,0
391-4504,117,0,0,0,132.7,61,231.7,121,18.3,6,10,1,2,0
388-5879,187,0,1,1.5G,131.7,81,126.6,81,8,7,15.2,3,1,0
440-4934,66,0,0,0,202.1,70,187.7,82,12.1,4,14,3,1,0
443-1994,80,0,0,0,264.5,83,157.4,64,17.3,13,12.3,2,2,0
444-5725,97,0,0,0,204,78,233.4,89,31.5,2,5.4,3,4,1
442-1314,36,0,0,0,127,94,256.9,85,12.8,13,7.1,3,0,0
416-2829,104,0,0,0,136.8,60,144.2,59,36.4,12,0,0,3,0
353-1637,32,0,0,0,177.2,70,93.4,82,56.8,8,16.3,2,2,1
425-6356,61,0,0,0,254.3,66,165.4,113,14,6,0,0,1,0
360-8910,138,0,1,1.5G,185.5,74,215.5,90,19.6,14,9.1,7,1,0
354-2335,117,1,1,250M,173,40,162.9,83,58.5,16,25.2,7,2,1
444-2130,115,0,0,0,150.9,52,193,109,7.6,10,14.1,1,1,0
374-6276,139,0,0,0,126.5,58,126.9,71,24.3,12,10.8,1,0,0
359-7837,93,0,1,500M,343,80,119.3,76,11.7,9,3.4,2,1,0
417-9305,78,0,0,0,201.9,103,184.1,98,9.5,7,6,3,1,1
369-5027,126,0,0,0,301.7,71,161.2,80,8.2,10,1.3,2,1,0
416-7297,19,0,0,0,41.7,51,135.5,82,4.8,3,8.9,1,1,0
377-2121,84,0,0,0,233.5,54,206.8,104,28.6,13,18,6,7,1
366-6431,94,0,0,0,120.8,44,225.8,102,11.3,10,12.8,2,1,0
421-8802,144,0,1,1G,244.5,92,193.4,100,61.2,10,12,3,2,0
410-9507,147,0,0,0,192.4,55,109.4,84,11.8,8,17.4,4,3,0
404-4859,66,0,0,0,193.6,72,217.2,119,4.2,13,2.9,3,2,0
409-5368,117,0,0,0,252.7,85,267.1,94,10.1,3,13.8,3,1,0
436-9563,149,0,0,0,169.6,65,210.1,110,39.9,12,6.5,2,3,0
355-2044,195,0,0,0,232.5,88,118.7,110,35.7,9,12.1,4,2,0
379-4854,90,0,0,0,168,70,249.1,116,53.1,16,1.5,2,1,0
375-1958,80,0,0,0,198.3,98,155.2,77,36.3,13,2.3,2,2,0
406-7621,113,0,0,0,220.9,103,258.9,100,22.7,9,16.9,5,0,1
351-6325,105,0,0,0,76.2,66,161.3,103,19.5,9,12,4,3,0
383-5508,131,0,0,0,163.2,75,155.9,69,27.2,17,14,2,1,0
446-6539,104,0,1,1.5G,175.3,65,190.3,105,19.1,13,0,0,1,0
446-9397,80,0,1,500M,294.4,84,270.1,131,45.8,17,15,3,3,1
354-6175,92,0,0,0,154.8,47,244.6,93,42.3,14,4.1,1,1,0
391-9759,43,0,0,0,114.2,40,124.3,69,11.4,3,12.8,2,4,0
388-2474,52,0,0,0,157.5,63,212.8,125,17.6,9,4.3,2,2,0
425-8036,90,0,0,0,178.4,59,187.2,126,22.7,12,13.2,3,3,0
414-7793,165,0,1,1G,242.9,96,172.4,76,29.2,16,8.7,1,1,0
435-9880,206,0,0,0,226,74,174.3,53,12.9,11,18.1,7,1,0
412-8565,137,0,0,0,168.2,68,141.6,52,6.6,12,13.8,3,3,0
388-4725,145,1,1,1.5G,175.2,74,162,67,13.9,6,20.3,6,2,0
370-8422,87,0,0,0,269.4,83,144.2,56,43,15,18.6,5,2,0
372-1213,62,0,0,0,252.4,90,236.5,80,36.3,9,7.9,4,2,1
448-1069,76,1,0,0,156.3,38,199.6,125,17.9,6,18.6,5,2,1
411-7486,35,0,0,0,122.5,77,189,114,4.1,4,18.8,4,2,0
411-3392,108,0,0,0,225.8,79,194.6,89,9.9,6,9.5,4,1,0
398-4002,92,0,0,0,317.7,92,265.4,121,18.2,14,16.7,6,0,1
436-2018,94,0,0,0,116.3,53,201.1,109,20.3,8,0,0,0,0
381-6574,126,0,1,1G,171.7,67,154.1,93,18.6,11,10.9,3,2,0
444-6571,34,0,0,0,47.8,51,210.3,69,3.1,7,5.3,2,1,0
437-9242,173,0,0,0,177.1,48,158.4,98,11.8,5,0,0,2,0
432-1034,80,0,0,0,240.2,97,194.5,97,18.1,9,0,0,2,0
385-9925,109,0,0,0,245.8,85,238.1,114,6.2,7,8.5,2,0,0
449-8823,154,0,1,1G,262.1,76,268,84,22.3,9,11.9,1,2,0
417-5520,60,0,0,0,159.9,69,166.4,77,15.9,17,0,0,3,0
362-5688,108,0,0,0,206.2,96,196,96,13.6,5,7.1,3,2,0
378-4509,9,0,0,0,167.2,92,152.5,77,19.8,3,9,3,1,0
414-4767,83,0,0,0,188.7,82,188.8,128,0,0,13.3,1,1,0
437-8541,63,0,0,0,245.2,92,94.2,103,20.4,6,11.7,2,1,0
446-7517,77,0,1,250M,235.6,82,171.2,65,19.3,17,0,0,3,0
408-7870,76,0,0,0,167.9,92,222.1,118,18,12,6,5,0,0
388-6763,211,0,0,0,213.5,74,214.4,179,9.9,1,3.7,2,2,0
398-5068,139,0,0,0,137.1,41,176.8,85,7,5,14.4,4,2,0
444-2204,181,0,0,0,212.6,69,92.7,66,34.8,17,16.9,5,2,0
424-9016,87,0,1,1G,143.5,59,193.5,111,28.7,10,14.1,3,0,0
370-4578,118,1,1,500M,171.8,86,134.5,70,15.5,6,17.7,4,1,1
413-9025,57,0,0,0,232.3,78,267.8,124,25.4,8,6.5,3,0,0
395-5478,110,0,0,0,206.6,91,158.6,88,0,0,16.9,5,1,0
430-8663,108,1,1,500M,156.6,41,116.9,85,9.9,4,24.3,9,0,1
362-2053,88,0,1,2G,150.7,47,175.7,88,13.9,10,16.6,7,2,1
425-4461,216,0,0,0,167.3,46,114.2,78,4.1,5,2.3,2,0,0
350-7562,154,1,0,0,250.2,89,317.8,129,25.8,2,17.2,7,0,1
443-8323,104,0,1,500M,212.3,92,260.9,132,17.8,12,15.4,5,0,0
350-2853,108,0,1,1.5G,143.2,67,211.7,97,4.4,12,0,0,2,0
372-1570,22,0,1,100M,231.8,67,170.7,108,4.1,10,0.9,1,1,0
366-3177,84,0,1,1G,253.4,86,298.1,94,33.1,14,15.9,3,1,0
419-3823,142,0,0,0,237.1,91,104,114,14.1,8,16.1,4,1,0
424-1751,68,0,0,0,297.9,102,273.3,80,8.3,8,11.8,3,2,1
359-4958,108,0,0,0,133.5,69,260.3,101,10.9,1,14.9,2,1,0
394-8016,84,0,0,0,275,68,240.1,88,25.9,10,19.7,6,0,0
377-4433,84,0,1,250M,90.5,57,200.5,85,19.4,14,12.9,2,2,0
438-7144,63,0,1,1G,257.2,89,232.8,118,14.7,7,2.4,1,1,0
410-1198,74,0,0,0,183.4,105,173.9,90,8.6,6,6,3,2,1
404-8554,62,1,0,0,196.7,67,159,84,3,5,22.6,5,3,1
359-9876,62,0,0,0,47.8,18,164.9,65,34.2,19,0.1,1,2,0
434-3954,85,0,0,0,195.9,78,197.4,71,8.1,10,11.3,1,3,0
409-9600,81,0,0,0,167.5,60,298.6,108,25.9,2,12.2,3,3,1
442-8331,49,0,0,0,142.8,55,105.4,121,7.5,5,11.3,1,2,0
448-5656,140,0,1,1.5G,116.9,80,178.1,95,34.6,6,3.9,1,1,0
436-9128,76,1,0,0,167.1,79,151.6,89,23.1,6,18.2,7,2,1
371-9224,102,0,1,100M,161.3,59,93.1,28,20.3,16,14,4,3,0
368-4275,72,0,1,1G,300.5,79,241.2,115,14.3,8,4.7,1,1,0
431-6125,85,0,0,0,216.8,79,231.5,115,7.1,7,5.9,2,2,0
375-7155,156,0,0,0,143.4,32,261.4,110,43.8,14,5.5,1,1,0
447-7796,3,0,1,250M,186.2,67,176.9,85,30.8,15,5.3,3,4,0
358-7885,145,1,0,0,192.7,67,222.7,66,27.9,16,15.4,6,2,1
406-5908,57,0,0,0,174.5,83,192.2,50,25,7,8.5,4,4,0
418-7404,60,0,0,0,247.5,92,151.9,71,71.4,25,5.5,3,2,0
358-1597,115,0,0,0,145.2,51,201,120,15,5,13,3,1,0
430-4549,36,0,0,0,193.7,78,255.5,111,17.8,8,11.7,4,0,0
419-7143,85,1,0,0,104.3,55,117.3,61,8.8,4,17.5,6,2,0
362-1130,101,0,0,0,154.8,68,235.1,86,41.4,14,18.1,6,1,0
356-8426,79,0,1,500M,244.6,121,220.2,105,6.5,5,4,1,1,0
390-4028,73,0,0,0,82.2,44,185.8,86,3.9,9,12.3,3,4,0
367-9496,183,0,1,2G,137.9,103,185.3,112,36,4,10.9,4,1,0
413-1561,76,0,0,0,135.2,56,172.5,97,7.7,2,13.2,3,2,0
416-3454,116,0,0,0,131.1,63,135.4,84,9.3,9,16.2,3,4,1
423-3693,181,0,0,0,163.7,46,235.1,94,42,16,10.4,3,1,0
434-8516,140,0,0,0,181,110,180.4,98,22.9,11,19.4,6,2,1
351-5503,116,0,0,0,133,75,194.4,83,40.8,20,17.9,5,1,0
350-3264,61,1,0,0,202.6,73,210,103,21.2,4,22.9,7,1,1
391-8130,80,0,1,100M,251.5,104,223.6,93,5,5,11.7,3,3,0
447-1645,72,0,0,0,82.6,78,203.8,88,24.8,7,16.5,3,4,0
397-4398,212,0,1,1.5G,166.4,64,254.9,123,17.9,8,1.4,1,0,0
424-1907,57,0,1,500M,91.7,65,219.5,44,7.1,7,0,0,2,0
377-9483,75,0,0,0,144.8,68,197.6,98,4,9,0,0,2,0
438-6599,53,0,0,0,224,91,197.6,113,32.6,10,11.1,3,1,0
429-6955,89,0,1,1.5G,166.1,53,119.1,87,23.1,11,9.4,2,0,0
370-6062,65,0,0,0,161.1,51,150.8,90,22.8,7,6.8,1,1,0
388-4688,127,0,0,0,239,99,270.7,106,3.9,3,5.7,2,2,1
449-9314,132,0,1,1.5G,178.3,72,231.8,82,72.7,23,0,0,1,1
440-1427,118,1,1,500M,143.8,49,232.9,115,35.2,8,19.6,6,0,0
449-1658,109,1,0,0,100.6,64,158.3,64,27.6,6,29.2,11,3,1
400-6896,121,0,0,0,256.6,89,125.1,39,22.9,5,10.4,2,0,1
424-6664,180,0,1,500M,158.9,62,100.1,97,43.1,16,23.2,8,2,0
369-8660,54,0,0,0,118.7,56,145.7,98,13.4,6,9.4,2,2,0
388-4318,63,1,0,0,114.5,51,194.2,116,51.9,17,15.8,7,3,1
375-1655,119,0,0,0,82.9,44,192.2,109,25.9,3,0,0,1,0
434-3063,140,0,0,0,98.4,37,135.3,66,30.2,13,0,0,0,0
363-3560,173,0,0,0,145.9,70,243.6,143,31.2,8,0,0,3,0
415-8300,56,0,0,0,68.6,48,148.5,105,14.9,5,7.3,1,2,0
424-7813,94,0,1,1.5G,232,65,203.9,127,12.8,2,17.3,4,3,0
411-1725,157,0,1,1G,219.8,85,199.3,98,28.9,16,7.2,2,2,0
424-5123,184,0,1,1G,183.8,72,180.8,116,13,16,5.9,2,3,0
435-8195,124,0,1,500M,182.5,75,176,113,27.9,21,15.9,4,2,0
432-8836,30,0,0,0,232.5,88,183.3,65,6.9,4,9.8,2,0,0
436-2986,145,0,0,0,254.7,72,239,63,14.2,10,1.9,1,0,0
365-5893,97,0,0,0,140.3,57,237,131,9.2,4,5,1,0,0
390-2309,105,0,0,0,304,98,294.4,101,17.7,7,16.7,4,3,0
417-8408,105,1,1,1G,169.3,71,183.8,79,4.4,5,17.7,6,1,1
413-8030,114,0,0,0,55.9,59,130.8,67,7.2,7,9.6,2,0,0
396-9378,112,0,1,1G,81.4,62,122.8,61,18.5,8,5,1,5,0
410-7586,67,0,1,250M,72.9,61,171.4,59,7.6,1,8,1,2,0
406-1244,120,0,0,0,190.5,42,143.7,82,27,7,11.4,3,2,0
417-6312,82,0,0,0,234.2,74,169.5,77,23.9,14,5.8,1,2,0
427-6167,171,0,0,0,125,74,198.1,92,34.2,12,5.8,1,3,0
355-9379,37,0,0,0,145,43,282.7,71,22,12,19.2,3,2,0
449-3882,103,0,0,0,194.2,71,235.1,139,10.6,4,8.9,3,1,0
391-5885,110,0,1,1G,110.2,66,165.8,76,17.2,8,16.7,5,0,0
437-6558,77,0,1,1.5G,236.4,73,302.3,119,18.1,10,1.8,1,5,0
372-8869,68,0,0,0,274.1,85,253.5,156,40.2,8,11.2,1,4,0
449-3062,74,0,0,0,225.5,76,252.8,103,20.5,7,8,1,2,0
428-3372,41,0,0,0,242.8,99,189.6,98,13.7,7,8.5,1,3,0
388-9134,167,0,0,0,192.3,53,308.9,95,34.4,15,8.5,1,4,0
381-9741,78,0,0,0,79.1,31,254.7,69,11.4,12,7.6,2,0,0
378-9106,92,0,0,0,203.1,70,196.3,78,11.3,7,25.1,10,1,1
442-5218,162,0,0,0,233.5,87,98.4,80,20.6,4,15.5,7,1,0
388-9225,101,0,0,0,196.1,77,121.1,69,22.5,13,13.4,2,0,0
364-9214,97,0,0,0,150.7,49,52.1,69,19.4,11,10.8,1,1,0
444-8344,163,0,0,0,133.1,73,219.2,93,26.8,14,8.1,2,2,0
389-5657,109,0,1,1.5G,110.4,55,193,66,7.9,5,15.6,4,1,0
404-9733,137,0,1,100M,172.6,72,128.5,56,14.4,5,16,3,0,0
372-9740,136,0,0,0,219.3,84,123.5,76,16.8,8,13,3,5,1
353-1407,53,1,0,0,119.8,82,181.2,22,42.8,12,20,10,0,1
352-8384,135,0,0,0,261.7,73,250.2,101,13.1,6,23.8,4,1,0
407-5167,32,0,1,250M,204.1,73,230.6,82,9.2,7,6.6,1,1,0
434-8313,5,0,0,0,190,70,224.4,83,9.2,5,1.2,1,0,0
378-1107,82,0,0,0,130.7,61,196.4,128,30.8,12,1,2,1,0
431-7871,111,0,0,0,131.7,50,187,123,3.1,3,19.4,4,1,0
356-4530,63,0,0,0,230.6,78,240.9,113,16.8,11,12.4,2,0,0
397-8220,79,0,0,0,172.1,98,201.5,113,26.7,13,14,2,2,0
437-4098,68,0,0,0,201.9,88,225.1,94,21.1,14,9.5,2,0,0
358-4066,104,0,0,0,148.6,65,99.8,77,19.7,9,12.3,2,1,0
441-2058,104,0,0,0,237.5,83,255.2,107,18.2,1,9.7,2,2,1
419-8904,97,0,0,0,227.1,90,249.8,112,7.1,9,11.1,2,2,0
422-4417,82,1,0,0,192.1,94,180.1,69,41.9,9,14.2,7,2,1
392-8363,138,0,1,2G,182.6,62,224.9,109,26.3,9,12.1,1,0,0
397-3200,111,0,1,100M,205.8,59,188.6,89,23.7,2,5.1,2,3,1
430-3973,101,0,1,500M,91.3,39,246,83,48.3,14,4.3,1,2,0
373-1019,68,0,1,1.5G,173.8,78,167.7,131,4.1,8,0,0,3,1
413-2146,57,0,0,0,201.1,62,178.7,77,10.9,4,12.3,5,1,0
397-9119,133,0,0,0,117.2,75,152.4,55,15.6,10,10.5,2,3,0
389-7582,74,0,0,0,243.8,86,185,94,26.8,6,0,0,0,0
350-4770,94,0,0,0,242.6,82,187.8,103,20.6,14,7.7,2,1,0
429-5522,150,0,0,0,130.1,70,145.4,131,10.8,9,14.7,2,5,0
